StateName,fips,Month,Day,HilaryClinton,BernieSanders
Alabama,US01,3,1,78,19
Alaska,US02,3,26,18,82
Arizona,US04,3,22,58,40
Arkansas,US05,3,1,66,30
California,US06,6,7,0,0
Colorado,US08,3,1,59,40
Connecticut,US09,4,26,0,0
Delaware,US10,4,26,0,0
District of Columbia,US11,6,14,0,0
Florida,US12,3,15,64,33
Georgia,US13,3,1,71,28
Hawaii,US15,3,26,30,70
Idaho,US16,3,22,21,78
Illinois,US17,3,15,51,49
Indiana,US18,5,3,0,0
Iowa,US19,2,1,50,49
Kansas,US20,3,5,32,68
Kentucky,US21,5,17,0,0
Louisiana,US22,3,5,71,23
Maine,US23,3,6,36,64
Maryland,US24,4,26,0,0
Massachusetts,US25,3,1,50,49
Michigan,US26,3,8,48,50
Minnesota,US27,3,1,38,62
Mississippi,US28,3,8,83,17
Missouri,US29,3,15,49,50
Montana,US30,6,7,0,0
Nebraska,US31,3,5,43,57
Nevada,US32,2,20,53,47
New Hampshire,US33,2,9,38,60
New Jersey,US34,6,7,0,0
New Mexico,US35,6,7,0,0
New York,US36,4,19,0,0
North Carolina,US37,3,15,55,41
North Dakota,US38,6,7,0,0
Ohio,US39,3,15,57,43
Oklahoma,US40,3,1,42,52
Oregon,US41,5,17,0,0
Pennsylvania,US42,4,26,0,0
Rhode Island,US44,4,26,0,0
South Carolina,US45,2,27,74,26
South Dakota,US46,6,7,0,0
Tennessee,US47,3,1,66,32
Texas,US48,3,1,65,33
Utah,US49,3,22,79,20
Vermont,US50,3,1,14,86
Virginia,US51,3,1,64,35
Washington,US53,3,26,27,73
West Virginia,US54,5,10,0,0
Wisconsin,US55,4,5,0,0
Wyoming,US56,4,9,0,0
